repository,is_fork,bugs_found,workflows_status,bots_active,vulnerabilities,patch_status,dependencies_updated,workflows_registered,workflows_inert,unpinned_actions,packages_without_lockfile,test_files,measurement_notes
ClearGlassInc/ClearGlassInc-ClearGlassIncorporated-Desmond,false,35,"NOT_EXECUTING (74 registered on PR #9, 0 billable ms - org-level block)",116,0,COMPLETE,true,74,72,0,2,163,"measured on branch percival/quirky-einstein-gc7qbf (PR #9), not main. On main: 6 workflows registered, 78 parked in a top-level workflows/ dir GitHub never reads, 3 critical + 10 high npm advisories. After the fix: 74 registered and passing the repo's own safety audit, 0 advisories, 1817 tests passing (was: suite aborted, 0 tests ran). The 72 'inert' are the deliberate rollback archive - copied, never moved. The 0 billable ms is an org-level Actions entitlement block, not a code defect."
ClearGlassInc/Gaurdian,false,NOT_MEASURED,UNREACHABLE,NOT_MEASURED,NOT_MEASURED,NOT_ATTEMPTED,false,,,,,,fatal: could not read Username for 'https://github.com': terminal prompts disabled
ClearGlassInc/Opal-Koboi,false,NOT_MEASURED,"NOT_EXECUTING (9 registered, 0 billable ms)",9,0,NOT_ATTEMPTED,false,9,0,19,0,13,critical+high from 2/2 lockfile(s); python deps not audited; 19 external action(s) pinned by mutable tag
ClearGlassInc/clearglass-academy,false,NOT_MEASURED,"NOT_EXECUTING (1 registered, 0 billable ms)",1,NO_LOCKFILE,NOT_ATTEMPTED,false,1,0,4,0,0,no package-lock.json; npm advisories not resolvable; 4 external action(s) pinned by mutable tag
ClearGlassInc/clearglass-network-overdrive,false,NOT_MEASURED,"NOT_EXECUTING (3 registered, 0 billable ms)",3,NO_LOCKFILE,NOT_ATTEMPTED,false,3,0,1,0,0,no package-lock.json; npm advisories not resolvable; 1 external action(s) pinned by mutable tag
ClearGlassInc/demo-repository,false,NOT_MEASURED,"NOT_EXECUTING (2 registered, 0 billable ms)",2,NO_LOCKFILE,NOT_ATTEMPTED,false,2,0,2,1,0,no package-lock.json; npm advisories not resolvable; 2 external action(s) pinned by mutable tag
ClearGlassInc/safe-add-animations.ps1,false,NOT_MEASURED,UNREACHABLE,NOT_MEASURED,NOT_MEASURED,NOT_ATTEMPTED,false,,,,,,fatal: could not read Username for 'https://github.com': terminal prompts disabled
ClearGlassIncorp/EmailAddressExtractor,true,NOT_MEASURED,NONE_DEFINED,0,NO_LOCKFILE,NOT_ATTEMPTED,false,0,0,0,0,0,"no package-lock.json; npm advisories not resolvable; fork of an upstream project; findings are inherited, not authored here"
ClearGlassIncorp/Opal-Koboi,true,NOT_MEASURED,"NOT_EXECUTING (11 registered, 0 billable ms)",14,1,NOT_ATTEMPTED,false,11,0,1,0,20,"critical+high from 1/1 lockfile(s); python deps not audited; 1 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
ClearGlassIncorp/hermes-agent,true,NOT_MEASURED,"NOT_EXECUTING (34 registered, 0 billable ms)",34,13,NOT_ATTEMPTED,false,34,0,1,8,5047,"critical+high from 4/4 lockfile(s); python deps not audited; 1 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
ClearGlasslabs/ClearCast,false,NOT_MEASURED,"NOT_EXECUTING (7 registered, 0 billable ms)",7,NO_LOCKFILE,NOT_ATTEMPTED,false,7,0,16,1,3,no package-lock.json; npm advisories not resolvable; 16 external action(s) pinned by mutable tag
ClearGlasslabs/ClearClean,false,NOT_MEASURED,UNREACHABLE,NOT_MEASURED,NOT_MEASURED,NOT_ATTEMPTED,false,,,,,,fatal: could not read Username for 'https://github.com': terminal prompts disabled
ClearGlasslabs/ClearCut,false,NOT_MEASURED,UNREACHABLE,NOT_MEASURED,NOT_MEASURED,NOT_ATTEMPTED,false,,,,,,fatal: could not read Username for 'https://github.com': terminal prompts disabled
ClearGlasslabs/ClearGlassInc.,false,NOT_MEASURED,"NOT_EXECUTING (9 registered, 0 billable ms)",9,NO_LOCKFILE,NOT_ATTEMPTED,false,9,0,10,5,7,no package-lock.json; npm advisories not resolvable; 10 external action(s) pinned by mutable tag
ClearGlasslabs/ClearWire,true,NOT_MEASURED,"NOT_EXECUTING (19 registered, 0 billable ms)",19,25,NOT_ATTEMPTED,false,19,0,54,1,9,"critical+high from 1/1 lockfile(s); python deps not audited; 54 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
ClearGlasslabs/EmailAddressExtractor,true,NOT_MEASURED,"NOT_EXECUTING (3 registered, 0 billable ms)",3,NO_LOCKFILE,NOT_ATTEMPTED,false,3,0,1,0,0,"no package-lock.json; npm advisories not resolvable; 1 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
ClearGlasslabs/Opal-Koboi,false,NOT_MEASURED,"NOT_EXECUTING (11 registered, 0 billable ms)",14,1,NOT_ATTEMPTED,false,11,0,1,0,20,critical+high from 1/1 lockfile(s); python deps not audited; 1 external action(s) pinned by mutable tag
ClearGlasslabs/PwnedPasswordsDownloader,true,NOT_MEASURED,"NOT_EXECUTING (5 registered, 0 billable ms)",5,NO_LOCKFILE,NOT_ATTEMPTED,false,5,0,5,0,0,"no package-lock.json; npm advisories not resolvable; 5 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
ClearGlasslabs/SocialPwned,true,NOT_MEASURED,"NOT_EXECUTING (3 registered, 0 billable ms)",3,NO_LOCKFILE,NOT_ATTEMPTED,false,3,0,1,0,0,"no package-lock.json; npm advisories not resolvable; 1 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
ClearGlasslabs/agent-reach,true,NOT_MEASURED,"NOT_EXECUTING (4 registered, 0 billable ms)",4,NO_LOCKFILE,NOT_ATTEMPTED,false,4,0,5,0,16,"no package-lock.json; npm advisories not resolvable; 5 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
ClearGlasslabs/azure-powershell,true,NOT_MEASURED,"NOT_EXECUTING (4 registered, 0 billable ms)",4,3,NOT_ATTEMPTED,false,4,0,4,0,0,"critical+high from 1/1 lockfile(s); python deps not audited; 4 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
ClearGlasslabs/claude-ads,true,NOT_MEASURED,"NOT_EXECUTING (5 registered, 0 billable ms)",5,NO_LOCKFILE,NOT_ATTEMPTED,false,5,0,1,0,32,"no package-lock.json; npm advisories not resolvable; 1 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
ClearGlasslabs/claude-agent-sdk-python,true,NOT_MEASURED,"NOT_EXECUTING (14 registered, 0 billable ms)",14,NO_LOCKFILE,NOT_ATTEMPTED,false,14,0,38,0,50,"no package-lock.json; npm advisories not resolvable; 38 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
ClearGlasslabs/claude-code,true,NOT_MEASURED,"NOT_EXECUTING (15 registered, 0 billable ms)",15,NO_LOCKFILE,NOT_ATTEMPTED,false,15,0,12,0,0,"no package-lock.json; npm advisories not resolvable; 12 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
ClearGlasslabs/clearglass-marketing-os,false,NOT_MEASURED,UNREACHABLE,NOT_MEASURED,NOT_MEASURED,NOT_ATTEMPTED,false,,,,,,fatal: could not read Username for 'https://github.com': terminal prompts disabled
ClearGlasslabs/freedatabreaches,true,NOT_MEASURED,"NOT_EXECUTING (3 registered, 0 billable ms)",3,NO_LOCKFILE,NOT_ATTEMPTED,false,3,0,1,0,0,"no package-lock.json; npm advisories not resolvable; 1 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
ClearGlasslabs/gods-eye-view,true,NOT_MEASURED,NONE_DEFINED,0,9,NOT_ATTEMPTED,false,0,0,0,0,154,"critical+high from 1/1 lockfile(s); python deps not audited; fork of an upstream project; findings are inherited, not authored here"
ClearGlasslabs/hermes-agent,true,NOT_MEASURED,"NOT_EXECUTING (34 registered, 0 billable ms)",34,43,NOT_ATTEMPTED,false,34,0,1,8,5047,"critical+high from 4/4 lockfile(s); python deps not audited; 1 external action(s) pinned by mutable tag; fork of an upstream project; findings are inherited, not authored here"
